Probe_ID	Gene_Symbol
11715100_at	HIST1H3G
11715101_s_at	HIST1H3G
11715102_x_at	HIST1H3G
11715103_x_at	TNFAIP8L1
11715104_s_at	OTOP2
11715105_at	C17orf78
11715106_x_at	CTAGE15
11715107_s_at	F8A1
11715108_x_at	LINC01098
11715109_at	SAMD7
11715110_at	ARRDC5
11715111_s_at	CGB
11715112_at	ERICH3
11715113_x_at	FAM86C1
11715114_x_at	FAM86C1
11715115_s_at	HIST1H2BI
11715116_s_at	HIST1H4E
11715117_x_at	HIST1H2AJ
11715118_s_at	HIST1H2BF
11715119_s_at	C2CD4B
11715120_s_at	HIST1H2BE
11715121_s_at	HIST1H3A
11715122_at	RAB3D
11715123_s_at	PDZD9
11715124_s_at	CACNG8
11715125_at	MORC2
11715126_s_at	HIST1H2BN
11715127_s_at	GPR32
11715128_s_at	PCDHGB5
11715129_s_at	ZNF600
11715130_s_at	KRTAP6-2
11715131_s_at	KRTAP20-1
11715132_x_at	HIST1H2BH
11715133_s_at	PCDHGA1
11715134_s_at	GLIPR1L2
11715135_s_at	SNAPC5
11715136_at	OR8U1
11715137_s_at	SSX2B
11715138_s_at	CGB
11715139_x_at	IFNA10
11715140_s_at	PCDHA13
11715141_s_at	PCDHGB3
11715142_s_at	GSC2
11715143_s_at	OR9Q2
11715144_s_at	KRTAP19-7
11715145_s_at	KRTAP20-2
11715146_x_at	SSX2B
11715147_at	MAATS1
11715148_s_at	HIST2H2AB
11715149_x_at	HIST2H2AB
11715150_s_at	PCDHA4
11715151_x_at	PRB3
11715152_at	PCDHGB1
11715153_s_at	PCDHGB1
11715154_s_at	ZNF675
11715155_s_at	TUBB7P
11715156_s_at	KRTAP6-1
11715157_s_at	KRTAP19-2
11715158_s_at	KRTAP19-4
11715159_at	SFT2D1
11715160_x_at	LOC650293
11715161_s_at	KRTAP21-2
11715162_s_at	HIST1H2AK
11715163_s_at	DEFB128
11715164_s_at	IGLL3P
11715165_at	DNAJC12
11715166_at	DNAJC12
11715167_at	ARHGAP22
11715168_s_at	POU3F3
11715169_at	PLEKHG2
11715170_x_at	HNRNPCL1
11715171_at	DEPDC5
11715172_at	DEPDC5
11715173_s_at	KRTAP10-12
11715174_s_at	KRTAP10-1
11715175_x_at	KRTAP10-3
11715176_at	TDRKH
11715177_s_at	TDRKH
11715178_s_at	OR2A14
11715179_s_at	KRTAP19-1
11715180_s_at	CGB1
11715181_x_at	KRTAP10-9
11715182_x_at	FAM86C1
11715183_s_at	ZNF391
11715184_x_at	RPL38
11715185_x_at	PRB1
11715186_x_at	PRB1
11715187_x_at	PRB1
11715188_at	H3F3C
11715189_s_at	H3F3B
11715190_s_at	FAM221A
11715191_s_at	FAM221A
11715192_s_at	FAM221A
11715193_s_at	UNCX
11715194_s_at	ZNF835
11715195_at	IMPACT
11715196_s_at	TMEM211
11715197_s_at	PYGO1
11715198_s_at	DBET
11715199_s_at	DBET
11715200_s_at	DBET
11715201_s_at	DBET
11715202_s_at	TCEAL1
11715203_s_at	ATP13A5
11715204_x_at	HIST2H2AC
11715205_x_at	PSG4
11715206_x_at	PSG4
11715207_at	WDFY4
11715208_s_at	CLCN6
11715209_s_at	SCAND1
11715210_s_at	PNMAL1
11715211_s_at	ZNF680
11715212_x_at	SCAND1
11715213_s_at	DUX1
11715214_at	MARK4
11715215_s_at	GRK7
11715216_s_at	UGT2B28
11715217_s_at	MOGAT2
11715218_s_at	FAM127A
11715219_s_at	HIST1H2AI
11715220_s_at	C2orf44
11715221_x_at	NSUN5
11715222_at	MAGI3
11715223_s_at	RNASE8
11715224_s_at	ACOXL
11715225_s_at	VPS54
11715226_s_at	PCDHA6
11715227_s_at	PCDHA7
11715228_s_at	SLC51B
11715229_s_at	GRIP2
11715230_s_at	PARD6A
11715231_x_at	RPL36
11715232_x_at	RPL36
11715233_s_at	SPATC1L
11715234_s_at	UCN
11715235_x_at	UQCRHL
11715236_s_at	PCDHGA12
11715237_s_at	RPL9
11715238_x_at	RPL9
11715239_x_at	IFITM3
11715240_at	ZNF184
11715241_s_at	LCE1D
11715242_s_at	LCE3D
11715243_x_at	LCE1F
11715244_x_at	LCE1A
11715245_s_at	IGLL1
11715246_x_at	ADGRB1
