Probe_ID	Gene_Symbol
merck2-A18658_at	INSR
merck2-AA004316_a_at	HSDL2
merck2-AA010083_a_at	TPM4
merck2-AA011007_at	GSN
merck2-AA011429_at	CPSF6
merck2-AA021034_at	LTB4R
merck2-AA024853_at	ITSN1
merck2-AA024853_x_at	ITSN1
merck2-AA025001_at	ZNF398
merck2-AA025385_x_at	RPL23
merck2-AA029904_s_at	NUDT3
merck2-AA031799_at	TSPAN11
merck2-AA034073_at	MEG3
merck2-AA035697_x_at	ESRRA
merck2-AA036857_at	MGAT2
merck2-AA040468_at	RPS19
merck2-AA040468_x_at	RPS19
merck2-AA041273_at	ARID1B
merck2-AA043801_at	SYNJ2BP
merck2-AA044583_at	HSF1
merck2-AA045064_at	PSEN2
merck2-AA045064_x_at	PSEN2
merck2-AA045422_a_at	MED31
merck2-AA055529_at	DNAJC15
merck2-AA064756_x_at	CNGB3
merck2-AA064850_at	ZRANB1
merck2-AA070515_at	DNAJC1
merck2-AA074624_at	OSBPL11
merck2-AA079821_at	TBCC
merck2-AA092147_at	PGRMC1
merck2-AA094897_at	TTN
merck2-AA099552_at	CDC73
merck2-AA101946_x_at	TIMM8A
merck2-AA102377_at	RELA
merck2-AA102377_x_at	RELA
merck2-AA111832_at	SMTNL1
merck2-AA112042_at	SLN
merck2-AA126453_at	RAB3GAP1
merck2-AA126485_at	RALGPS1
merck2-AA127811_at	HEG1
merck2-AA129406_at	GRB10
merck2-AA129984_at	RAB7A
merck2-AA135502_at	RAB11A
merck2-AA135502_x_at	RAB11A
merck2-AA136693_at	SMU1
merck2-AA148029_at	PODXL
merck2-AA149961_at	FLII
merck2-AA155774_at	RHOJ
merck2-AA159392_at	FLOT1
merck2-AA159392_x_at	FLOT1
merck2-AA160181_at	LARP7
merck2-AA167641_at	CISD2
merck2-AA174178_at	CDK6
merck2-AA174178_x_at	CDK6
merck2-AA180134_at	TNNC2
merck2-AA190785_at	CAMSAP2
merck2-AA192473_at	KIAA0319
merck2-AA193413_at	GPR161
merck2-AA193663_a_at	CRIM1
merck2-AA203536_at	CLN8
merck2-AA204835_at	SARS
merck2-AA206257_at	SLC7A8
merck2-AA206864_x_at	CDKN2AIPNL
merck2-AA206993_a_at	MPPE1
merck2-AA209162_x_at	IGF2BP1
merck2-AA210688_at	WDR26
merck2-AA215697_at	UCHL5
merck2-AA220927_at	PCSK6
merck2-AA220927_x_at	PCSK6
merck2-AA229292_at	TMA7
merck2-AA235608_at	SPTBN1
merck2-AA248932_at	DENND4C
merck2-AA251331_at	ELF1
merck2-AA251740_at	LSM8
merck2-AA252974_at	SH3PXD2A
merck2-AA256897_at	ZNF618
merck2-AA257034_at	BRI3
merck2-AA257034_x_at	BRI3
merck2-AA258265_at	OSBPL8
merck2-AA262548_at	PAWR
merck2-AA278368_a_at	SNTB2
merck2-AA278673_at	TLR7
merck2-AA279540_at	SLC7A6
merck2-AA279540_x_at	SLC7A6
merck2-AA280528_at	VPS39
merck2-AA280613_at	DCP2
merck2-AA280884_at	SH2B2
merck2-AA283680_at	PAPD7
merck2-AA291550_a_at	ADD1
merck2-AA291580_at	ANK1
merck2-AA291580_x_at	ANK1
merck2-AA295198_at	CCDC110
merck2-AA295799_at	VPS4A
merck2-AA300065_at	NDUFB9
merck2-AA301948_at	PRDX1
merck2-AA313216_a_at	RTF1
merck2-AA314147_at	KCNJ2
merck2-AA315736_a_at	ATP1B3
merck2-AA319610_at	PCSK2
merck2-AA321804_at	SPTB
merck2-AA322467_at	TAGLN3
merck2-AA330277_at	VPS13C
merck2-AA331654_at	MAT2B
merck2-AA337106_at	TCEAL9
merck2-AA339065_at	SELENOW
merck2-AA341322_at	GRSF1
merck2-AA350218_at	SLC27A4
merck2-AA353195_at	OTULINL
merck2-AA355690_at	PAICS
merck2-AA359298_x_at	RPS12
merck2-AA367306_at	AKT3
merck2-AA367715_at	ARPC2
merck2-AA372695_at	NSUN6
merck2-AA378704_x_at	THRAP3
merck2-AA379112_at	SLAMF8
merck2-AA382874_at	LACTB2-AS1
merck2-AA384366_at	CCDC125
merck2-AA386236_at	MTSS1L
merck2-AA393863_at	ECI2
merck2-AA401078_at	SDC2
merck2-AA402423_at	UBE2H
merck2-AA402866_a_at	CANX
merck2-AA410317_at	ITCH
merck2-AA410352_at	AMOTL1
merck2-AA411052_a_at	SNX17
merck2-AA411155_x_at	SS18
merck2-AA416547_at	PHACTR4
merck2-AA416803_at	CCNYL1
merck2-AA416803_x_at	CCNYL1
merck2-AA417995_at	SEMA3A
merck2-AA425297_at	MYO9A
merck2-AA425475_at	CYB5R2
merck2-AA427992_at	ZNF341
merck2-AA436312_at	ITGAM
merck2-AA436567_at	COX15
merck2-AA437054_at	RERG
merck2-AA437196_at	PCDHB19P
merck2-AA444386_at	SF3B1
merck2-AA446113_at	MMP11
merck2-AA446177_at	MAEL
merck2-AA446940_at	DLGAP4
merck2-AA447826_a_at	LYRM2
merck2-AA449771_a_at	THUMPD3
merck2-AA450222_at	CNOT8
merck2-AA452609_a_at	STAR
merck2-AA454855_a_at	MMP11
merck2-AA460087_at	PHC1
merck2-AA460707_x_at	PPP3CA
merck2-AA460967_at	SLITRK4
merck2-AA463285_at	RRAGB
merck2-AA467937_at	ACPP
merck2-AA477200_at	FAM78A
merck2-AA477200_x_at	FAM78A
merck2-AA479831_at	TCAIM
