Oligo_ID	Symbol v12
hCP000001	ACTB
hCP000002	ACTB
hCP000003	ACTB
hCP000004	ACTB
hCP000005	ACTB
hCP000006	ACTB
hCP000007	ACTB
hCP000008	ACTB
hCP000009	ACTB
hCP000010	ACTB
hCP000011	ACTB
hCP000012	ACTB
hCP000013	ACTB
hCP000014	ACTB
hCP000015	ACTB
hCP000016	ACTB
hCP000017	ACTB
hCP000018	ACTB
hCP000019	ACTB
hCP000020	ACTB
hCP000021	ACTB
hCP000022	ACTB
hCP000023	ACTB
hCP000024	ACTB
hCP000025	ACTB
hCP000026	ACTB
hCP000027	ACTB
hCP000028	ACTB
hCP000029	ACTB
hCP000030	ACTB
hCP000031	ACTB
hCP000032	ACTB
hCP000033	ACTB
hCP000034	ACTB
hCP000035	ACTB
hCP000036	ACTB
hCP000037	ACTB
hCP000038	ACTB
hCP000039	ACTB
hCP000040	ACTB
hCP000041	ACTB
hCP000042	ACTB
hCP000043	ACTB
hCP000044	ACTB
hCP000045	ACTB
hCP000046	ACTB
hCP000047	ACTB
hCP000048	ACTB
hCP000049	ACTB
hCP000050	ACTB
hCP000051	ACTB
hCP000052	ACTB
hCP000053	ACTB
hCP000054	ACTB
hCP000055	ACTB
hCP000056	ACTB
hCP000057	ACTB
hCP000058	ACTB
hCP000059	ACTB
hCP000060	ACTB
hCP000061	ACTB
hCP000062	ACTB
hCP000063	ACTB
hCP000064	ACTB
hCP000065	ACTB
hCP000066	ACTB
hCP000067	ACTB
hCP000068	ACTB
hCP000069	ACTB
hCP000070	ACTB
hCP000071	ACTB
hCP000072	ACTB
hCP000073	ACTB
hCP000074	ACTB
hCP000075	ACTB
hCP000076	ACTB
hCP000077	ACTB
hCP000078	ACTB
hCP000079	ACTB
hCP000080	ACTB
hCP000081	ACTB
hCP000082	ACTB
hCP000083	ACTB
hCP000084	ACTB
hCP000085	ACTB
hCP000086	ACTB
hCP000087	ACTB
hCP000088	ACTB
hCP000089	ACTB
hCP000090	ACTB
hCP000091	ACTB
hCP000092	ACTB
hCP000093	ACTB
hCP000094	ACTB
hCP000095	ACTB
hCP000096	ACTB
hCP000097	YWHAZ
hCP000098	SDHA
hCP000099	HMBS
hCP000100	B2M
hCP000101	GAPDH
hCP000102	YWHAZ
hCP000103	SDHA
hCP000104	HMBS
hCP000105	B2M
hCP000106	GAPDH
hCP000107	YWHAZ
hCP000108	SDHA
hCP000109	HMBS
hCP000110	B2M
hCP000111	GAPDH
hCP000112	YWHAZ
hCP000113	SDHA
hCP000114	HMBS
hCP000115	B2M
hCP000116	GAPDH
hCP000117	YWHAZ
hCP000118	SDHA
hCP000119	HMBS
hCP000120	B2M
hCP000121	TBP
hCP000122	HPRT1
hCP000123	RPL13A
hCP000124	UBC
hCP000125	ACTB
hCP000126	TBP
hCP000127	HPRT1
hCP000128	RPL13A
hCP000129	UBC
hCP000130	ACTB
hCP000131	TBP
hCP000132	HPRT1
hCP000133	RPL13A
hCP000134	UBC
hCP000135	ACTB
hCP000136	TBP
hCP000137	HPRT1
hCP000138	RPL13A
hCP000139	UBC
hCP000140	ACTB
hCP000141	TBP
hCP000142	HPRT1
hCP000143	RPL13A
hCP000144	UBC
hCP000145	HMBS
hCP000146	B2M
hCP000147	GAPDH
