Gene_Symbol	Probe_Id
LOC23117	ILMN_1725881
FCGR2B	ILMN_1804174
TRIM44	ILMN_1796063
LOC400129	ILMN_3284771
LOC400129	ILMN_3208259
LOC653895	ILMN_1811966
DGAT2L3	ILMN_1668162
LOC387701	ILMN_1715600
C15orf39	ILMN_1793729
PCDHGA9	ILMN_2296644
PCDHGA9	ILMN_1711283
STAMBPL1	ILMN_1682799
MGC3771	ILMN_3305563
MGC3771	ILMN_3228954
SNORA60	ILMN_3243894
LOC100130872	ILMN_3246479
STH	ILMN_1665311
LOC342979	ILMN_1657235
LOC728492	ILMN_1655444
UGT2B7	ILMN_1679194
UGT2B7	ILMN_1755897
CLEC12A	ILMN_1711453
LOC648054	ILMN_1656744
SCYL1BP1	ILMN_2121316
SCYL1BP1	ILMN_1761911
RGNEF	ILMN_1807467
RGNEF	ILMN_1652609
LOC643426	ILMN_1720944
C1orf103	ILMN_2385662
TCP1	ILMN_2313434
AIFM3	ILMN_1704173
LOC729212	ILMN_3298873
ISOC2	ILMN_1769158
PEX5	ILMN_1660232
FLJ20718	ILMN_1763663
ORC1L	ILMN_1727459
LOC389405	ILMN_1814429
MIR30D	ILMN_3308996
SNX13	ILMN_1797082
NSMCE2	ILMN_1693210
TUBGCP2	ILMN_1775074
CD40	ILMN_1779257
LOC648628	ILMN_1684523
LOC100128895	ILMN_3269225
BIN1	ILMN_2309245
BTBD10	ILMN_1809344
DCTN3	ILMN_1762281
ARHGDIA	ILMN_1734742
NEK1	ILMN_2162234
TTTY8B	ILMN_3240008
SARS2	ILMN_1655684
LOC645381	ILMN_3201937
LOC728992	ILMN_3300190
SNORA14A	ILMN_3241036
LOC650339	ILMN_1735832
LRRC48	ILMN_1754567
LOC648993	ILMN_1686807
LOC647543	ILMN_1671123
LONP1	ILMN_1766125
LOC647083	ILMN_1654249
SLU7	ILMN_1685369
MIR30C1	ILMN_3310815
TIMM9	ILMN_1653709
NOMO1	ILMN_2126957
NOMO1	ILMN_1678730
NOMO1	ILMN_1702114
KCNN3	ILMN_1801608
KCNN3	ILMN_1744897
PJA2	ILMN_1688702
LOC100128096	ILMN_3268938
PLGLA1	ILMN_1807393
ARID3A	ILMN_1670130
MOGAT1	ILMN_1765971
SLC6A15	ILMN_1659166
SLC6A15	ILMN_1810533
RPL27A	ILMN_1713086
C4orf28	ILMN_2205695
PPIAL4A	ILMN_3236259
LOC400948	ILMN_1739335
LOC653352	ILMN_1803834
PDLIM7	ILMN_2396639
PDLIM7	ILMN_1814985
CST6	ILMN_1680462
CST6	ILMN_1697733
TNFSF11	ILMN_1658713
LOC100130000	ILMN_3234948
KRTAP13-1	ILMN_2055638
C10orf68	ILMN_1662791
RNF6	ILMN_2275455
TEAD3	ILMN_1814002
LSM11	ILMN_1702698
LAGE3	ILMN_1708151
TRMT6	ILMN_1765085
LOC283922	ILMN_3199507
LOC647785	ILMN_1793463
BAX	ILMN_2321064
DNAJC7	ILMN_1663616
ALMS1P	ILMN_3237132
