Probe_ID	Gene_Symbol
ILMN_1722532	JMJD1A
ILMN_1708805	NCOA3
ILMN_1672526	LOC389834
ILMN_1703284	SPIRE2
ILMN_2185604	C17ORF77
ILMN_1785107	NXT2
ILMN_1689711	CHKB
ILMN_1782551	E2F5
ILMN_1656040	NTN2L
ILMN_1715540	TRAIP
ILMN_2371280	CSF3R
ILMN_1777550	ARL13A
ILMN_1788239	AMDHD1
ILMN_2148679	SDHAP3
ILMN_1656792	FLYWCH1
ILMN_1803590	PSRC2
ILMN_1730765	DUSP22
ILMN_1671809	DUSP22
ILMN_1750625	RSPO4
ILMN_1689814	DUSP13
ILMN_2100046	IL22
ILMN_2137404	C1ORF141
ILMN_1733860	SYNPR
ILMN_1762231	TCF8
ILMN_1700240	MMD2
ILMN_2052891	PKD2
ILMN_1713369	RPL13A
ILMN_1800611	CEP72
ILMN_1727938	MGC13138
ILMN_1771827	AIF1
ILMN_1794912	ATP5H
ILMN_1726624	YPEL4
ILMN_1798817	HSPC105
ILMN_1710427	VPS37B
ILMN_1688258	C20ORF144
ILMN_2253537	NXF2
ILMN_2333829	NXF2
ILMN_1793351	LOC643842
ILMN_1659082	ZCRB1
ILMN_1789750	ZNF41
ILMN_1768488	TERF2
ILMN_1694774	OR52J3
ILMN_2411963	RBM39
ILMN_1666057	REEP2
ILMN_1737981	FSTL5
ILMN_1702715	MECP2
ILMN_2072296	CKS2
ILMN_2061641	SGOL2
ILMN_1764361	DUSP16
ILMN_1698533	IDH3A
ILMN_2410038	FAM111A
ILMN_1778845	FAM111A
ILMN_1673769	KCNG1
ILMN_2355004	HMGN3
ILMN_1674650	C9ORF95
ILMN_2110206	GNPTAB
ILMN_1809894	TMEM117
ILMN_1720390	LOC653602
ILMN_1806052	UNC119
ILMN_1704305	NIP7
ILMN_1791569	PLXNA1
ILMN_1771174	KRTAP10-1
ILMN_1663749	BTNL3
ILMN_1766698	OR5T1
ILMN_2401946	HSFY2
ILMN_2291538	HSFY2
ILMN_1739345	C11ORF48
ILMN_2056569	FGF21
ILMN_1777691	ARL9
ILMN_1687971	CAPN3
ILMN_1810011	PTPDC1
ILMN_1761031	PTPDC1
ILMN_1670719	TPD52L1
ILMN_1754716	HAS1
ILMN_1730698	ODF2
ILMN_2354930	ANKRD7
ILMN_2414848	TBRG4
ILMN_1724986	WDR53
ILMN_2206413	CTAG1A
ILMN_1760708	CRYBB2
ILMN_1746128	ACSM2
ILMN_1731785	ORM2
ILMN_1742967	LOC441177
ILMN_1744217	HTR7
ILMN_1725306	RNF6
ILMN_1693771	ASPH
ILMN_1793182	SLC36A2
ILMN_1693233	KIAA0513
ILMN_2191949	OR8J1
ILMN_1789887	PSPN
ILMN_1711092	KCNB1
ILMN_1665691	ACTN3
ILMN_1669592	March 2
ILMN_1782352	VENTX
ILMN_2124236	C3ORF42
ILMN_1727740	SYNCRIP
ILMN_1720844	SSX2IP
ILMN_1699843	CRTC1
ILMN_1675721	UBE2R2
ILMN_2195821	LOC153222
ILMN_1799466	MTX2
ILMN_2282352	PHYH
ILMN_2385566	PHYH
ILMN_2409220	HMMR
ILMN_1660551	CRAMP1L
ILMN_1659564	SEC61A1
ILMN_2386982	PRKCZ
ILMN_2157099	CCNA1
ILMN_1754507	IRF4
ILMN_1735908	UTP15
ILMN_1700652	CHAD
ILMN_1753568	LRRC34
ILMN_2297824	UBE2G2
ILMN_1785179	UBE2G2
ILMN_1680349	RIBC2
ILMN_1754017	FLJ11331
ILMN_1704512	SERINC4
ILMN_1720241	TRIP12
ILMN_2414014	RBM10
ILMN_2073969	ABHD13
ILMN_1716766	CEBPG
ILMN_1802397	GNA11
ILMN_2106449	PLEKHF2
ILMN_2224657	KLRG2
ILMN_1685781	C14ORF142
ILMN_1674924	LOC284739
ILMN_1774330	KIAA0523
ILMN_2162367	DMC1
ILMN_1782558	XG
ILMN_1706825	PKN2
ILMN_1700540	OR51I2
ILMN_1784884	LILRB3
ILMN_2406132	LILRB3
ILMN_1701308	COL1A1
ILMN_1695382	TSC22D3
ILMN_1722491	APRT
ILMN_1670693	LIPE
ILMN_1673721	EXO1
ILMN_2127298	F2RL3
ILMN_1767747	HDAC2
ILMN_1810604	ELMOD1
ILMN_2070896	BMPR2
ILMN_1673586	SLC6A6
ILMN_1762608	KIAA1632
ILMN_2229214	STOX1
ILMN_2054442	ZNF146
ILMN_1700766	FLJ45850
ILMN_1709817	SLC35A5
ILMN_1799320	C9ORF37
ILMN_2366795	KIF27
ILMN_1747353	KIF27
ILMN_2043079	ILDR1
ILMN_1691789	SMNDC1
ILMN_1718950	ZNF433
ILMN_1685631	KIAA0892
ILMN_1700690	VAT1
ILMN_1807467	RGNEF
ILMN_1801814	VEGFB
ILMN_1722855	VEGFB
ILMN_2398995	MRPL24
ILMN_1695576	MRPL24
ILMN_2237746	ING3
ILMN_1738075	CMIP
ILMN_1690888	CMIP
ILMN_2160388	RPL24
ILMN_1680110	C10ORF116
ILMN_1727402	HCLS1
ILMN_1730867	AZU1
ILMN_1668778	PRKAA2
ILMN_1689110	NOB1P
ILMN_1724410	USP46
ILMN_1784834	OR52E6
ILMN_1662232	DCTN2
ILMN_1666670	RBX1
ILMN_1717706	PLK2
ILMN_1681886	ADAMTS5
ILMN_2054213	HSMPP8
ILMN_1765332	TIMM10
ILMN_1784040	NAPSA
ILMN_1717295	C6ORF122
ILMN_2057359	TAF9B
ILMN_1757910	HIP1R
ILMN_1792437	LOC348174
ILMN_1721035	MS4A6A
ILMN_2359800	MS4A6A
ILMN_1691022	ZNF365
ILMN_1652072	MGC42105
ILMN_1668880	AKR1C4
ILMN_2167426	ASPHD2
ILMN_2270015	AADAT
ILMN_1706413	C1ORF66
ILMN_2148913	TMEM45A
ILMN_1728349	TMEM63B
ILMN_1697971	TRIM38
ILMN_1802646	EPHB6
ILMN_1657302	SULT1A1
ILMN_1811367	MAT2B
ILMN_1680246	MAT2B
ILMN_2200836	HSPB7
ILMN_2406151	UMOD
ILMN_1680927	CASC2
ILMN_1722279	DMD
ILMN_1740339	ZNF473
ILMN_2177965	RPS19BP1
ILMN_1741465	PTPRH
ILMN_1653730	OXCT2
ILMN_1730809	SLC29A2
ILMN_1801387	YEATS4
ILMN_1768480	VGLL4
ILMN_1659415	MAP2K1IP1
ILMN_1653211	ATP1B4
ILMN_1739275	HTR3C
ILMN_1778213	STK33
ILMN_2228453	KIAA0562
ILMN_1789505	ITPR1
ILMN_1714216	TSC2
ILMN_2121958	OC90
ILMN_2277537	MUTYH
ILMN_1735712	KRT1
ILMN_1799688	CDC23
ILMN_2197647	MSX2P
ILMN_2145116	TMEM173
ILMN_2405156	PPAP2C
ILMN_1810782	SH3KBP1
ILMN_2225595	ACAD8
ILMN_1789781	PIM3
ILMN_1707748	PIM3
ILMN_1803615	MATK
ILMN_1770758	AKAP6
ILMN_2370862	PLA2G4E
ILMN_1782439	CNN3
ILMN_1657618	LOC653150
ILMN_1701637	SULT4A1
ILMN_1804268	BC37295_3
ILMN_1770084	TACC1
ILMN_1700042	TLN2
ILMN_1723871	OTUB1
ILMN_1791346	ATF3
ILMN_1682206	GCC1
ILMN_1754241	MGC35212
ILMN_1661109	ATF3
ILMN_1770293	KLF5
ILMN_1657797	FIBP
ILMN_1770014	KCNQ4
ILMN_1652487	RIOK1
ILMN_1797534	RIOK1
ILMN_2349459	BIRC5
ILMN_1749838	ZNF42
ILMN_1670816	ZNF42
ILMN_2367428	FAM96A
ILMN_1712660	PDZD7
ILMN_1799796	KIAA1008
ILMN_1738854	CACHD1
ILMN_1749402	CACNG5
ILMN_2242309	CACNG5
ILMN_1710993	C1ORF111
ILMN_1751645	OR3A4
ILMN_1724946	SPINT1
ILMN_2092077	PIP
ILMN_1746436	HCG27
ILMN_1705689	ADAM12
ILMN_1774757	ZNF496
ILMN_1805696	DFFA
ILMN_2196609	OR5K3
ILMN_1713679	DSU
ILMN_1729580	NUDT9
ILMN_2157441	HLA-DRA
ILMN_1797738	RCCD1
ILMN_2391324	RCCD1
ILMN_1740883	C14ORF148
ILMN_1811433	RPL8
