Probe_ID	Gene_Symbol
Hs.100043_at	CCDC124
Hs.100057_at	STK35
Hs.100058_at	DPYSL4
Hs.100072_at	GJC2
Hs.100217_at	FMNL1
Hs.100261_at	BICC1
Hs.100299_at	LIG3
Hs.100322_at	CA6
Hs.10041_at	SRL
Hs.100426_at	BRMS1
Hs.100431_at	CXCL13
Hs.1004_at	BRPF1
Hs.10056_at	SIAE
Hs.100686_at	AGR3
Hs.10082_at	KCNN4
Hs.100874_at	ATPAF1
Hs.100878_at	ASTE1
Hs.100890_at	RPRM
Hs.100912_at	GPRIN3
Hs.100914_at	CEP192
Hs.100915_at	PEX16
Hs.100921_at	ZSCAN9
Hs.10094_at	SLC12A4
Hs.10095_at	MLLT1
Hs.101007_at	DCUN1D3
Hs.101014_at	CEP57
Hs.10101_at	MUL1
Hs.101139_at	ZNF780B
Hs.101150_at	PPP1R18
Hs.101174_at	MAPT
Hs.1011_at	PROZ
Hs.1012_at	C4BPA
Hs.101302_at	COL12A1
Hs.101307_at	SLC14A1
Hs.101337_at	UCP3
Hs.101364_at	ASNSD1
Hs.10136_at	BPHL
Hs.101480_at	LOC100131822
Hs.101674_at	ARSF
Hs.101742_at	RPUSD1
Hs.101745_at	SLITRK3
Hs.101761_at	N4BP3
Hs.101774_at	KIF16B
Hs.101807_at	AZIN2
Hs.101891_at	MIER2
Hs.101915_at	ELOVL4
Hs.101937_at	SIX2
Hs.101949_at	KBTBD3
Hs.1019_at	PTH1R
Hs.102267_at	LOX
Hs.102307_at	SLC13A2
Hs.102308_at	KCNJ8
Hs.102336_at	ARHGAP8
Hs.102406_at	MLPH
Hs.102408_at	TARID
Hs.102471_at	PHACTR2
Hs.102558_at	PGAM5
Hs.102598_at	MADCAM1
Hs.102696_at	MCTS1
Hs.102788_at	MAN1A1
Hs.102798_at	PSMA1
Hs.1027_at	RRAD
Hs.102866_at	TKTL1
Hs.102914_at	CUL4B
Hs.102928_at	ZNF668
Hs.102971_at	ALG10
Hs.102_at	AMT
Hs.10306_at	NKG7
Hs.1030_at	RIN1
Hs.103106_at	LSM2
Hs.103110_at	PPARA
Hs.103128_at	CHRNA6
Hs.103137_at	LHX6
Hs.103183_at	FMR1
Hs.103253_at	PLIN1
Hs.10326_at	COPE
Hs.103291_at	NRN1
Hs.103315_at	ZNF384
Hs.103502_at	GPT
Hs.103503_at	DNASE1L2
Hs.103505_at	SLURP1
Hs.103521_at	SCAF1
Hs.103527_at	SH2D2A
Hs.103535_at	LOC157503
Hs.103555_at	COG1
Hs.103561_at	ARL6IP4
Hs.103665_at	VILL
