Probe_ID	Gene_Symbol
A2M	A2M
AAAS	AAAS
AACS	AACS
AAED1	AAED1
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
AAMP	AAMP
AAR2	AAR2
AARS	AARS
AARS2	AARS2
AARSD1	AARSD1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATF	AATF
AATK	AATK
ABAT	ABAT
ABC13-47488600E17.1	ABC13-47488600E17.1
ABCA1	ABCA1
ABCA10	ABCA10
ABCA2	ABCA2
ABCA3	ABCA3
ABCA5	ABCA5
ABCA7	ABCA7
ABCB1	ABCB1
ABCB10	ABCB10
ABCB5	ABCB5
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC1	ABCC1
ABCC10	ABCC10
ABCC2	ABCC2
ABCC4	ABCC4
ABCC5	ABCC5
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABHD1	ABHD1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD17A	ABHD17A
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD18	ABHD18
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABI1	ABI1
ABI2	ABI2
ABI3	ABI3
ABL1	ABL1
ABL2	ABL2
ABLIM1	ABLIM1
ABLIM2	ABLIM2
ABO	ABO
ABR	ABR
ABRACL	ABRACL
ABT1	ABT1
ABTB1	ABTB1
ABTB2	ABTB2
AC004381.6	AC004381.6
AC011043.1	AC011043.1
AC013461.1	AC013461.1
AC025335.1	AC025335.1
AC090498.1	AC090498.1
AC092881.1	AC092881.1
AC113404.1	AC113404.1
AC233755.1	AC233755.1
AC240274.1	AC240274.1
AC241377.1	AC241377.1
AC241585.1	AC241585.1
AC245100.1	AC245100.1
ACAA1	ACAA1
ACAA2	ACAA2
ACACA	ACACA
ACACB	ACACB
ACAD10	ACAD10
ACAD11	ACAD11
ACAD8	ACAD8
ACAD9	ACAD9
ACADM	ACADM
ACADS	ACADS
ACADSB	ACADSB
ACADVL	ACADVL
ACAP1	ACAP1
ACAP2	ACAP2
ACAP3	ACAP3
ACAT1	ACAT1
ACAT2	ACAT2
ACBD3	ACBD3
ACBD4	ACBD4
ACBD5	ACBD5
ACBD6	ACBD6
ACCS	ACCS
ACD	ACD
ACER3	ACER3
ACHE	ACHE
ACIN1	ACIN1
ACKR3	ACKR3
ACLY	ACLY
ACO1	ACO1
ACO2	ACO2
ACOT1	ACOT1
ACOT13	ACOT13
ACOT2	ACOT2
ACOT4	ACOT4
ACOT7	ACOT7
ACOT8	ACOT8
ACOT9	ACOT9
ACOX1	ACOX1
ACOX3	ACOX3
ACP1	ACP1
ACP2	ACP2
ACP5	ACP5
ACP6	ACP6
ACRBP	ACRBP
ACRC	ACRC
ACSF2	ACSF2
ACSF3	ACSF3
ACSL1	ACSL1
ACSL3	ACSL3
ACSL4	ACSL4
ACSL5	ACSL5
ACSM3	ACSM3
ACSS1	ACSS1
ACSS2	ACSS2
ACTA2	ACTA2
ACTB	ACTB
ACTG1	ACTG1
ACTL10	ACTL10
ACTL6A	ACTL6A
ACTN1	ACTN1
ACTN4	ACTN4
ACTR10	ACTR10
ACTR1A	ACTR1A
ACTR1B	ACTR1B
ACTR2	ACTR2
ACTR3	ACTR3
ACTR3B	ACTR3B
ACTR3C	ACTR3C
ACTR5	ACTR5
ACTR6	ACTR6
ACTR8	ACTR8
ACTRT3	ACTRT3
ACVR1	ACVR1
ACVR1B	ACVR1B
ACVR2A	ACVR2A
ACVR2B	ACVR2B
ACY1	ACY1
ACYP1	ACYP1
ACYP2	ACYP2
ADA	ADA
ADAL	ADAL
ADAM10	ADAM10
ADAM12	ADAM12
ADAM15	ADAM15
ADAM17	ADAM17
ADAM19	ADAM19
ADAM22	ADAM22
ADAM28	ADAM28
ADAM8	ADAM8
ADAM9	ADAM9
ADAMTS1	ADAMTS1
ADAMTS10	ADAMTS10
ADAMTS13	ADAMTS13
ADAMTS14	ADAMTS14
ADAMTS17	ADAMTS17
ADAMTS2	ADAMTS2
ADAMTS4	ADAMTS4
ADAMTSL4	ADAMTSL4
ADAP1	ADAP1
ADAP2	ADAP2
ADAR	ADAR
ADARB1	ADARB1
ADARB2	ADARB2
ADAT1	ADAT1
ADAT2	ADAT2
ADAT3	ADAT3
ADCK1	ADCK1
ADCK2	ADCK2
ADCK5	ADCK5
ADCY3	ADCY3
ADCY4	ADCY4
ADCY7	ADCY7
ADCY9	ADCY9
ADD1	ADD1
ADD3	ADD3
ADGRA3	ADGRA3
ADGRB2	ADGRB2
ADGRD1	ADGRD1
ADGRE2	ADGRE2
ADGRE5	ADGRE5
