Probe_ID	Gene_Symbol
Hs.529161	A1BG
Hs.709582	A1BG
Hs.88556	A2M
Hs.212838	A2M
Hs.569125	A2MP1
Hs.591847	NAT1
Hs.2	NAT2
NA	NATP
Hs.534293	SERPINA3
Hs.710488	SERPINA3
Hs.506908	AADAC
Hs.83347	AAMP
Hs.431417	AANAT
Hs.315137	AARS
NA	AAVS1
Hs.336768	ABAT
Hs.659274	ABCA1
Hs.421202	ABCA2
Hs.26630	ABCA3
Hs.370480	ABCB7
Hs.655285	ABCF1
Hs.416707	ABCA4
Hs.431048	ABL1
Hs.647097	AOC1
Hs.733889	AOC1
Hs.159472	ABL2
Hs.654423	ABO
Hs.159306	ABR
Hs.677395	ABR
Hs.643487	ACAA1
Hs.160556	ACACA
Hs.234898	ACACB
Hs.676621	ACACB
Hs.471277	ACADL
Hs.445040	ACADM
Hs.507076	ACADS
Hs.81934	ACADSB
Hs.437178	ACADVL
Hs.232375	ACAT1
Hs.571037	ACAT2
Hs.368417	ASIC2
Hs.274361	ASIC1
Hs.154495	ACHE
NA	ACLS
Hs.387567	ACLY
Hs.567229	ACO1
Hs.370870	ACR
Hs.643610	ACO2
Hs.464137	ACOX1
Hs.558296	ACP1
Hs.532492	ACP2
Hs.1211	ACP5
Hs.433060	ACPP
Hs.169222	ACRV1
Hs.596575	ACRV1
Hs.1288	ACTA1
Hs.500483	ACTA2
Hs.520640	ACTB
NA	ACTBP2
NA	ACTBP3
NA	ACTBP4
NA	ACTBP6
NA	ACTBP7
NA	ACTBP8
NA	ACTBP9
Hs.118127	ACTC1
Hs.514581	ACTG1
Hs.713764	ACTG1
Hs.516105	ACTG2
NA	ACTG1P1
NA	ACTG1P2
NA	ACTG1P3
NA	ACTG1P6
NA	ACTG1P7
NA	ACTG1P8
Hs.270291	ACTN4
NA	ACTG1P9
NA	ACTG1P10
Hs.435326	ACTL6A
Hs.235750	ACTN1
Hs.509765	ACTN1
Hs.498178	ACTN2
Hs.654432	ACTN3
Hs.737862	ACTN3
Hs.470316	ACVR1
Hs.438918	ACVR1B
Hs.470174	ACVR2A
Hs.174273	ACVR2B
Hs.591026	ACVRL1
Hs.334707	ACY1
Hs.18573	ACYP1
Hs.516173	ACYP2
Hs.591587	ACYP2
Hs.642983	ACYP2
Hs.654536	ADA
Hs.501574	ADAM8
Hs.172028	ADAM10
Hs.578508	ADAM10
Hs.745136	ADAM10
Hs.12341	ADAR
Hs.474018	ADARB1
Hs.586663	ADARB2
NA	ADCP1
Hs.192215	ADCY1
Hs.481545	ADCY2
Hs.467898	ADCY3
Hs.611397	ADCY3
Hs.593292	ADCY5
Hs.525401	ADCY6
Hs.694408	ADCY6
Hs.513578	ADCY7
Hs.591859	ADCY8
Hs.391860	ADCY9
Hs.610484	ADCY9
Hs.531719	ADCYAP1
Hs.727476	ADCYAP1
Hs.377783	ADCYAP1R1
Hs.183706	ADD1
Hs.66187	ADD2
Hs.188528	ADD2
Hs.501012	ADD3
NA	ADFN
Hs.3416	PLIN2
Hs.654433	ADH1A
Hs.4	ADH1B
Hs.654537	ADH1C
Hs.1219	ADH4
Hs.78989	ADH5
Hs.586161	ADH6
Hs.389	ADH7
Hs.656586	ADK
Hs.441047	ADM
Hs.77867	ADORA1
Hs.197029	ADORA2A
Hs.167046	ADORA2B
NA	ADORA2BP1
Hs.281342	ADORA3
Hs.99884	ADPRH
Hs.177766	PARP1
Hs.744855	PARP4
NA	PARP1P1
NA	PARP1P2
Hs.557	ADRA1D
Hs.368632	ADRA1B
Hs.670012	ADRA1B
Hs.52931	ADRA1A
Hs.709175	ADRA1A
Hs.249159	ADRA2A
Hs.247686	ADRA2B
Hs.123022	ADRA2C
Hs.99913	ADRB1
Hs.2551	ADRB2
Hs.2549	ADRB3
Hs.83636	GRK2
Hs.657494	GRK3
Hs.733960	GRK3
Hs.75527	ADSL
Hs.498313	ADSS
Hs.467125	AP2A1
Hs.19121	AP2A2
Hs.368794	AP1B1
Hs.514819	AP2B1
Hs.461253	AP1G1
Hs.439463	AEBP1
Hs.515053	AES
Hs.109620	CRISP1
NA	AF8T
NA	AFA
NA	AFD1
Hs.534773	AFG3L1P
Hs.168718	AFM
Hs.518808	AFP
Hs.207776	AGA
Hs.2159	ACAN
Hs.616395	ACAN
Hs.534342	AGER
Hs.904	AGL
NA	AGMX2
Hs.104633	AGRP
Hs.224012	JAG1
Hs.626544	JAG1
Hs.19383	AGT
Hs.477887	AGTR1
Hs.744837	AGTR1
Hs.405348	AGTR2
Hs.438311	APLNR
Hs.144567	AGXT
Hs.268490	NR0B1
Hs.388004	AHCY
NA	AIC
Hs.171189	AHR
Hs.324746	AHSG
Hs.76364	AIF1
NA	AIH3
Hs.724262	AIM1
Hs.744905	AIM1
Hs.175473	AK1
Hs.470907	AK2
Hs.10862	AK4
NA	AK4P1
Hs.525622	AKT1
Hs.631535	AKT2
Hs.1227	ALAD
Hs.476308	ALAS1
Hs.731798	ALAS1
Hs.522666	ALAS2
Hs.555936	ALAS2
Hs.418167	ALB
Hs.592379	ALB
Hs.591293	ALCAM
Hs.740441	ALCAM
Hs.159546	ABCD1
Hs.76392	ALDH1A1
Hs.604551	ALDH2
Hs.531682	ALDH3A1
Hs.436219	ALDH1B1
Hs.743532	ALDH1B1
Hs.459538	ALDH1A3
Hs.612155	ALDH1A3
Hs.523841	ALDH3B1
Hs.87539	ALDH3B2
Hs.2533	ALDH9A1
Hs.499886	ALDH3A2
Hs.117852	ABCD2
Hs.513490	ALDOA
Hs.732822	ALDOA
Hs.652473	ALDOAP2
Hs.530274	ALDOB
Hs.155247	ALDOC
Hs.521212	AKR1B1
NA	AKR1B1P2
Hs.654469	ALK
Hs.654431	ALOX12
Hs.89499	ALOX5
Hs.507658	ALOX5AP
Hs.136574	ALOX12B
NA	ALOX12P1
