Probe_ID	Gene_Symbol
1053_at	RFC2
117_at	HSPA6
121_at	PAX8
1255_g_at	GUCA1A
1316_at	THRA
1320_at	PTPN21
1405_i_at	CCL5
1431_at	CYP2E1
1438_at	EPHB3
1487_at	ESRRA
1494_f_at	CYP2A6
1552256_a_at	SCARB1
1552257_a_at	TTLL12
1552258_at	CYTOR
1552261_at	WFDC2
1552263_at	MAPK1
1552264_a_at	MAPK1
1552266_at	ADAM32
1552269_at	SPATA17
1552271_at	PRR22
1552272_a_at	PRR22
1552274_at	PXK
1552275_s_at	PXK
1552276_a_at	VPS18
1552277_a_at	MSANTD3
1552278_a_at	SLC46A1
1552279_a_at	SLC46A1
1552280_at	TIMD4
1552281_at	SLC39A5
1552286_at	ATP6V1E2
1552287_s_at	AFG3L1P
1552288_at	CILP2
1552289_a_at	CILP2
1552291_at	PIGX
1552293_at	TMEM196
1552295_a_at	SLC39A13
1552296_at	BEST4
1552299_at	AK9
1552301_a_at	CORO6
1552302_at	TMEM106A
1552303_a_at	TMEM106A
1552304_at	ALG10
1552306_at	ALG10
1552307_a_at	TTC39C
1552309_a_at	NEXN
1552310_at	C15orf40
1552311_a_at	RAX2
1552312_a_at	MFAP3
1552314_a_at	EYA3
1552315_at	GIMAP1
1552316_a_at	GIMAP1
1552318_at	GIMAP1
1552319_a_at	KLK8
1552320_a_at	CCDC65
1552321_a_at	CCDC65
1552322_at	FAM122C
1552323_s_at	FAM122C
1552325_at	CFAP53
1552326_a_at	CFAP53
1552327_at	ARMCX4
1552329_at	RBBP6
1552330_at	CENPBD1
1552332_at	TRIOBP
1552334_at	TRIOBP
1552335_at	CATSPER1
1552337_s_at	HOXD4
1552338_at	GSC
1552340_at	SP7
1552343_s_at	PDE7A
1552344_s_at	CNOT7
1552347_at	CRYZL1
1552348_at	PRSS33
1552349_a_at	PRSS33
1552354_at	CBARP
1552355_s_at	CBARP
1552359_at	MCMDC2
1552360_a_at	TIRAP
1552362_a_at	LEAP2
1552364_s_at	MSI2
1552365_at	SCIN
1552367_a_at	SCIN
1552368_at	CTCFL
1552370_at	C4orf33
1552372_at	C4orf33
1552373_s_at	C4orf33
1552375_at	ZNF333
1552377_s_at	TVP23C
1552378_s_at	RDH10
1552379_at	RDH10
1552381_at	SRSF12
1552383_at	FAM71A
1552384_a_at	FAM71A
1552386_at	GAPT
1552389_at	ERICH5
1552390_a_at	ERICH5
1552391_at	CCDC185
1552393_at	ENTHD1
1552394_a_at	ENTHD1
1552395_at	TSSK3
1552396_at	WFDC6
1552398_a_at	CLEC12A
1552399_a_at	BRF1
1552400_a_at	TMEM266
1552402_at	CALML6
1552405_at	NLRP5
1552408_at	ODF4
1552409_a_at	ODF4
1552410_at	CLEC4F
1552414_at	WFDC9
1552415_a_at	WFDC9
1552417_a_at	NEDD1
1552418_at	TTLL10
1552419_s_at	TTLL10
1552421_a_at	CALR3
1552422_at	C10orf25
1552423_at	ETV3
1552424_at	KLHL10
1552425_a_at	KLHL10
1552426_a_at	TM2D3
1552427_at	ZNF485
1552430_at	WDR17
1552432_at	MFSD6L
1552436_a_at	CDH23
1552438_a_at	ANKAR
1552439_s_at	MEGF11
1552440_at	GPR182
1552445_a_at	ESX1
1552448_a_at	FAM167A-AS1
1552450_a_at	DNAJC5G
1552452_at	WDR88
1552453_a_at	WDR88
1552455_at	PRUNE2
1552456_a_at	MBD3L2
1552457_a_at	ADAMTSL1
1552458_at	MBD3L1
1552459_a_at	MBD3L1
1552461_at	FAM46D
1552463_at	SERPINB11
1552466_x_at	LINC00161
1552467_at	DSCR10
1552468_a_at	DSCR10
1552470_a_at	ABHD11
1552472_a_at	ACAP2
1552473_at	GAMT
1552474_a_at	GAMT
1552476_s_at	PLCD3
1552477_a_at	IRF6
1552478_a_at	IRF6
1552480_s_at	PTPRC
1552481_s_at	MAN1A2
1552482_at	RAPH1
1552484_at	SMCR8
1552485_at	LACTB
1552486_s_at	LACTB
1552487_a_at	BNC1
1552489_s_at	MPP4
1552490_at	LACE1
1552491_at	IDI2
1552493_s_at	CYP11B1
1552494_at	TAF8
1552496_a_at	COBL
1552497_a_at	SLAMF6
1552498_at	ZSCAN20
1552499_a_at	ZSCAN20
1552501_a_at	GPBAR1
1552502_s_at	RHBDL2
1552503_at	FRAS1
1552504_a_at	BRSK1
1552506_at	CRB2
1552507_at	KCNE4
1552508_at	KCNE4
1552509_a_at	CD300LG
1552510_at	SLC34A3
1552511_a_at	CPA6
1552514_at	WBP2NL
1552515_at	HIPK1
1552516_a_at	HIPK1
1552518_s_at	MTBP
1552519_at	ACVR1C
1552520_at	TMEM74
1552521_a_at	TMEM74
1552522_at	TIGD4
1552523_a_at	TIGD4
1552524_at	ART5
1552526_at	FAM71C
1552528_at	LINC01547
1552531_a_at	NLRP11
1552532_a_at	ATP6V1C2
1552535_at	CLDN19
1552536_at	VTI1A
1552538_a_at	KIF6
1552540_s_at	IQCD
1552541_at	TAGAP
1552542_s_at	TAGAP
1552543_a_at	STON2
1552544_at	SERPINA12
1552546_a_at	LETM2
1552548_at	BSND
1552549_a_at	BSND
1552552_s_at	CLEC4C
1552553_a_at	NLRC4
1552554_a_at	NLRC4
1552555_at	PRSS36
1552557_a_at	ZDHHC15
1552558_a_at	RAI1
1552559_a_at	CDK15
1552562_at	ZNF570
1552564_at	NUDT9P1
1552566_at	BTBD16
1552568_at	RTP3
1552569_a_at	RTP3
1552570_at	TSPEAR
1552572_a_at	MIPOL1
1552573_s_at	MIPOL1
1552575_a_at	C6orf141
1552576_at	ALMS1P1
1552578_a_at	MYO3B
1552579_a_at	ADAM21
1552580_at	TRIML2
1552582_at	ABCC13
1552583_s_at	ABCC13
1552584_at	IL12RB1
1552585_s_at	GTF2A1L
1552586_at	TRPV3
1552587_at	CNBD1
1552588_a_at	CNBD1
1552590_a_at	ABCC12
1552592_at	MMP21
1552594_at	TMEM190
1552596_at	GAS2L2
1552598_at	KCNG4
1552599_at	PXT1
1552602_at	CACNG5
1552604_at	LINC00308
1552605_s_at	LINC00308
1552608_at	WFDC11
1552610_a_at	JAK1
1552611_a_at	JAK1
1552612_at	CDC42SE2
1552613_s_at	CDC42SE2
1552615_at	ACACB
1552616_a_at	ACACB
1552617_a_at	RFWD2
1552618_at	STX6
1552619_a_at	ANLN
1552620_at	SPRR4
1552623_at	HSH2D
1552625_a_at	TRNT1
1552626_a_at	TMEM163
1552627_a_at	ARHGAP5
1552628_a_at	HERPUD2
1552629_a_at	JMJD6
1552630_a_at	SRCAP
1552631_a_at	MAP3K6
1552632_a_at	ARSG
1552633_at	ZNF101
1552634_a_at	ZNF101
1552637_at	PTPN11
1552639_at	KLHDC7B
1552643_at	ZNF626
1552644_a_at	PHC3
1552646_at	IL11RA
1552648_a_at	TNFRSF10A
1552652_at	HPS4
1552656_s_at	UHMK1
1552657_a_at	TXNDC2
1552658_a_at	NAV3
1552660_a_at	C5orf22
1552661_at	PCDHGB7
1552662_a_at	PCDHGB7
1552663_a_at	ERC1
1552664_at	FLCN
1552665_at	JMJD1C-AS1
1552666_a_at	LRRC7
1552667_a_at	SH2D3C
1552669_at	PPP1R3B
1552670_a_at	PPP1R3B
1552671_a_at	SLC9A7
1552672_a_at	IGSF3
1552673_at	RFX6
1552674_at	DIRC1
1552675_at	DNAJB7
1552676_at	UCN3
